Strength 6, Cards:  11 11 11 11 11, Bid:  435, Rank:  1000, Winnings:  435000
Strength 5, Cards:   7  7  7  7 14, Bid:   28, Rank:   948, Winnings:   26544
Strength 5, Cards:   7  7  7  7 12, Bid:  825, Rank:   947, Winnings:  781275
Strength 5, Cards:   7  7  5  7  7, Bid:  910, Rank:   946, Winnings:  860860
Strength 5, Cards:   7  2  7  7  7, Bid:  883, Rank:   945, Winnings:  834435
Strength 5, Cards:   6 10 10 10 10, Bid:  502, Rank:   944, Winnings:  473888
Strength 5, Cards:   6 10  6  6  6, Bid:  293, Rank:   943, Winnings:  276299
Strength 5, Cards:   6  6  8  6  6, Bid:  425, Rank:   942, Winnings:  400350
Strength 5, Cards:   6  6  6  6 11, Bid:  595, Rank:   941, Winnings:  559895
Strength 5, Cards:   6  6  6  6  7, Bid:  811, Rank:   940, Winnings:  762340
Strength 5, Cards:   6  6  6  6  3, Bid:  674, Rank:   939, Winnings:  632886
Strength 5, Cards:   6  6  4  6  6, Bid:  844, Rank:   938, Winnings:  791672
Strength 5, Cards:   6  3  3  3  3, Bid:  990, Rank:   937, Winnings:  927630
Strength 5, Cards:   6  2  6  6  6, Bid:  590, Rank:   936, Winnings:  552240
Strength 5, Cards:   5 14 14 14 14, Bid:  265, Rank:   935, Winnings:  247775
Strength 5, Cards:   5 13  5  5  5, Bid:   44, Rank:   934, Winnings:   41096
Strength 5, Cards:   5  5  6  5  5, Bid:  148, Rank:   933, Winnings:  138084
Strength 5, Cards:   5  5  5 12  5, Bid:  937, Rank:   932, Winnings:  873284
Strength 5, Cards:   5  5  5  7  5, Bid:  119, Rank:   931, Winnings:  110789
Strength 5, Cards:   5  5  5  5 11, Bid:  732, Rank:   930, Winnings:  680760
Strength 5, Cards:   5  5  4  5  5, Bid:  735, Rank:   929, Winnings:  682815
Strength 5, Cards:   5  4  4  4  4, Bid:  504, Rank:   928, Winnings:  467712
Strength 5, Cards:   4 13 13 13 13, Bid:  369, Rank:   927, Winnings:  342063
Strength 5, Cards:   4 11  4  4  4, Bid:  482, Rank:   926, Winnings:  446332
Strength 5, Cards:   4  7  7  7  7, Bid:  770, Rank:   925, Winnings:  712250
Strength 5, Cards:   4  4  8  4  4, Bid:  402, Rank:   924, Winnings:  371448
Strength 5, Cards:   4  4  6  4  4, Bid:  759, Rank:   923, Winnings:  700557
Strength 5, Cards:   4  4  4  4 12, Bid:  560, Rank:   922, Winnings:  516320
Strength 5, Cards:   4  4  4  4  7, Bid:  192, Rank:   921, Winnings:  176832
Strength 5, Cards:   4  2  4  4  4, Bid:   82, Rank:   920, Winnings:   75440
Strength 5, Cards:   3 10  3  3  3, Bid:  318, Rank:   919, Winnings:  292242
Strength 5, Cards:   3  9  9  9  9, Bid:  363, Rank:   918, Winnings:  333234
Strength 5, Cards:   3  3 11  3  3, Bid:  968, Rank:   917, Winnings:  887656
Strength 5, Cards:   3  3  3  5  3, Bid:  431, Rank:   916, Winnings:  394796
Strength 5, Cards:   3  3  3  3 13, Bid:  142, Rank:   915, Winnings:  129930
Strength 5, Cards:   3  3  3  3 12, Bid:  239, Rank:   914, Winnings:  218446
Strength 5, Cards:   2  8  8  8  8, Bid:   19, Rank:   913, Winnings:   17347
Strength 5, Cards:   2  3  3  3  3, Bid:  632, Rank:   912, Winnings:  576384
Strength 5, Cards:   2  2  2 12  2, Bid:  804, Rank:   911, Winnings:  732444
Strength 5, Cards:   2  2  2 11  2, Bid:  254, Rank:   910, Winnings:  231140
Strength 5, Cards:   2  2  2  9  2, Bid:   50, Rank:   909, Winnings:   45450
Strength 5, Cards:   2  2  2  7  2, Bid:  823, Rank:   908, Winnings:  747284
Strength 5, Cards:   2  2  2  5  2, Bid:  566, Rank:   907, Winnings:  513362
Strength 5, Cards:   2  2  2  3  2, Bid:  223, Rank:   906, Winnings:  202038
Strength 5, Cards:   2  2  2  2  6, Bid:  391, Rank:   905, Winnings:  353855
Strength 4, Cards:  14 14 14 10 10, Bid:  655, Rank:   904, Winnings:  592120
Strength 4, Cards:  14 14 12 12 12, Bid:  572, Rank:   903, Winnings:  516516
Strength 4, Cards:  14 14 11 11 14, Bid:  622, Rank:   902, Winnings:  561044
Strength 4, Cards:  14 14  8  8 14, Bid:  646, Rank:   901, Winnings:  582046
Strength 4, Cards:  14 13 14 13 13, Bid:  685, Rank:   900, Winnings:  616500
Strength 4, Cards:  14 12 14 12 14, Bid:  626, Rank:   899, Winnings:  562774
Strength 4, Cards:  14  9  9 14 14, Bid:  145, Rank:   898, Winnings:  130210
Strength 4, Cards:  14  8  8 14  8, Bid:  945, Rank:   897, Winnings:  847665
Strength 4, Cards:  14  5  5  5 14, Bid:  335, Rank:   896, Winnings:  300160
Strength 4, Cards:  14  4 14  4 14, Bid:  583, Rank:   895, Winnings:  521785
Strength 4, Cards:  14  3 14  3 14, Bid:  444, Rank:   894, Winnings:  396936
Strength 4, Cards:  13 13 13  8  8, Bid:  522, Rank:   893, Winnings:  466146
Strength 4, Cards:  13 13 12 12 13, Bid:  842, Rank:   892, Winnings:  751064
Strength 4, Cards:  13 11 11 13 13, Bid:  999, Rank:   891, Winnings:  890109
Strength 4, Cards:  13 10 13 10 13, Bid:  836, Rank:   890, Winnings:  744040
Strength 4, Cards:  13  6  6 13  6, Bid:  612, Rank:   889, Winnings:  544068
Strength 4, Cards:  13  3  3 13  3, Bid:  372, Rank:   888, Winnings:  330336
Strength 4, Cards:  13  2 13  2 13, Bid:  577, Rank:   887, Winnings:  511799
Strength 4, Cards:  12 13 12 12 13, Bid:  158, Rank:   886, Winnings:  139988
Strength 4, Cards:  12 12 12  9  9, Bid:  361, Rank:   885, Winnings:  319485
Strength 4, Cards:  12 12  6 12  6, Bid:  241, Rank:   884, Winnings:  213044
Strength 4, Cards:  12  8  8  8 12, Bid:  757, Rank:   883, Winnings:  668431
Strength 4, Cards:  12  7 12 12  7, Bid:  837, Rank:   882, Winnings:  738234
Strength 4, Cards:  12  7 12  7  7, Bid:  232, Rank:   881, Winnings:  204392
Strength 4, Cards:  12  3  3  3 12, Bid:  571, Rank:   880, Winnings:  502480
Strength 4, Cards:  12  2 12  2  2, Bid:  404, Rank:   879, Winnings:  355116
Strength 4, Cards:  11 12 12 11 12, Bid:  171, Rank:   878, Winnings:  150138
Strength 4, Cards:  11 11 10 10 11, Bid:  717, Rank:   877, Winnings:  628809
Strength 4, Cards:  11 11  8  8  8, Bid:  488, Rank:   876, Winnings:  427488
Strength 4, Cards:  11 11  2  2  2, Bid:   83, Rank:   875, Winnings:   72625
Strength 4, Cards:  11 10 10 10 11, Bid:  628, Rank:   874, Winnings:  548872
Strength 4, Cards:  11  8 11 11  8, Bid:  240, Rank:   873, Winnings:  209520
Strength 4, Cards:  11  6 11  6  6, Bid:  365, Rank:   872, Winnings:  318280
Strength 4, Cards:  11  5  5  5 11, Bid:  330, Rank:   871, Winnings:  287430
Strength 4, Cards:  11  4  4 11  4, Bid:  247, Rank:   870, Winnings:  214890
Strength 4, Cards:  11  3  3 11  3, Bid:  452, Rank:   869, Winnings:  392788
Strength 4, Cards:  10 13 10 13 10, Bid:  343, Rank:   868, Winnings:  297724
Strength 4, Cards:  10 10  7  7 10, Bid:   33, Rank:   867, Winnings:   28611
Strength 4, Cards:  10  9 10 10  9, Bid:  109, Rank:   866, Winnings:   94394
Strength 4, Cards:  10  6 10  6  6, Bid:  252, Rank:   865, Winnings:  217980
Strength 4, Cards:   9 13  9  9 13, Bid:  803, Rank:   864, Winnings:  693792
Strength 4, Cards:   9 10  9 10  9, Bid:  100, Rank:   863, Winnings:   86300
Strength 4, Cards:   9  9 11  9 11, Bid:  805, Rank:   862, Winnings:  693910
Strength 4, Cards:   9  9  7  7  9, Bid:  379, Rank:   861, Winnings:  326319
Strength 4, Cards:   9  9  5  5  5, Bid:  346, Rank:   860, Winnings:  297560
Strength 4, Cards:   9  8  9  8  8, Bid:  140, Rank:   859, Winnings:  120260
Strength 4, Cards:   9  6  9  6  6, Bid:  132, Rank:   858, Winnings:  113256
Strength 4, Cards:   9  3  3  3  9, Bid:  475, Rank:   857, Winnings:  407075
Strength 4, Cards:   9  2  9  2  2, Bid:  128, Rank:   856, Winnings:  109568
Strength 4, Cards:   8  9  9  8  9, Bid:  858, Rank:   855, Winnings:  733590
Strength 4, Cards:   8  8  8 10 10, Bid:  875, Rank:   854, Winnings:  747250
Strength 4, Cards:   8  8  8  2  2, Bid:  130, Rank:   853, Winnings:  110890
Strength 4, Cards:   8  8  7  7  7, Bid:  131, Rank:   852, Winnings:  111612
Strength 4, Cards:   8  2  8  2  2, Bid:  591, Rank:   851, Winnings:  502941
Strength 4, Cards:   7  7  7 11 11, Bid:  906, Rank:   850, Winnings:  770100
Strength 4, Cards:   7  7  7 10 10, Bid:  737, Rank:   849, Winnings:  625713
Strength 4, Cards:   7  7  7  5  5, Bid:  848, Rank:   848, Winnings:  719104
Strength 4, Cards:   7  7  3  7  3, Bid:   43, Rank:   847, Winnings:   36421
Strength 4, Cards:   7  6  6  7  7, Bid:  996, Rank:   846, Winnings:  842616
Strength 4, Cards:   7  5  5  5  7, Bid:  863, Rank:   845, Winnings:  729235
Strength 4, Cards:   6 10 10  6 10, Bid:  242, Rank:   844, Winnings:  204248
Strength 4, Cards:   6  8  6  8  8, Bid:  792, Rank:   843, Winnings:  667656
Strength 4, Cards:   6  6  6  4  4, Bid:  642, Rank:   842, Winnings:  540564
Strength 4, Cards:   6  6  3  3  3, Bid:  434, Rank:   841, Winnings:  364994
Strength 4, Cards:   6  5  6  5  6, Bid:  496, Rank:   840, Winnings:  416640
Strength 4, Cards:   6  5  5  6  5, Bid:  419, Rank:   839, Winnings:  351541
Strength 4, Cards:   6  4  4  6  4, Bid:  800, Rank:   838, Winnings:  670400
Strength 4, Cards:   6  2  6  2  2, Bid:  534, Rank:   837, Winnings:  446958
Strength 4, Cards:   5 12 12  5 12, Bid:  418, Rank:   836, Winnings:  349448
Strength 4, Cards:   5 10 10  5  5, Bid:   77, Rank:   835, Winnings:   64295
Strength 4, Cards:   5  8  5  5  8, Bid:   25, Rank:   834, Winnings:   20850
Strength 4, Cards:   5  5 12 12  5, Bid:  647, Rank:   833, Winnings:  538951
Strength 4, Cards:   4 14 14  4  4, Bid:  645, Rank:   832, Winnings:  536640
Strength 4, Cards:   4 12  4 12 12, Bid:  416, Rank:   831, Winnings:  345696
Strength 4, Cards:   4 10 10  4 10, Bid:  420, Rank:   830, Winnings:  348600
Strength 4, Cards:   4  8  8  8  4, Bid:  940, Rank:   829, Winnings:  779260
Strength 4, Cards:   4  4  8  8  4, Bid:  624, Rank:   828, Winnings:  516672
Strength 4, Cards:   4  4  5  5  5, Bid:  191, Rank:   827, Winnings:  157957
Strength 4, Cards:   4  4  4 10 10, Bid:  185, Rank:   826, Winnings:  152810
Strength 4, Cards:   4  2  4  2  4, Bid:  283, Rank:   825, Winnings:  233475
Strength 4, Cards:   3 13 13 13  3, Bid:  845, Rank:   824, Winnings:  696280
Strength 4, Cards:   3  9  9  9  3, Bid:  544, Rank:   823, Winnings:  447712
Strength 4, Cards:   3  4  4  3  4, Bid:  538, Rank:   822, Winnings:  442236
Strength 4, Cards:   3  4  4  3  3, Bid:  439, Rank:   821, Winnings:  360419
Strength 4, Cards:   2  7  2  2  7, Bid:  291, Rank:   820, Winnings:  238620
Strength 4, Cards:   2  6  2  6  6, Bid:  163, Rank:   819, Winnings:  133497
Strength 4, Cards:   2  2  7  7  7, Bid:   12, Rank:   818, Winnings:    9816
Strength 4, Cards:   2  2  2 10 10, Bid:  248, Rank:   817, Winnings:  202616
Strength 3, Cards:  14 14 14 11  5, Bid:  606, Rank:   816, Winnings:  494496
Strength 3, Cards:  14 14  7 14  4, Bid:  667, Rank:   815, Winnings:  543605
Strength 3, Cards:  14 14  4 12 14, Bid:  288, Rank:   814, Winnings:  234432
Strength 3, Cards:  14 14  4  3 14, Bid:  831, Rank:   813, Winnings:  675603
Strength 3, Cards:  14 12 14 14 10, Bid:  116, Rank:   812, Winnings:   94192
Strength 3, Cards:  14 11 14 14  4, Bid:  593, Rank:   811, Winnings:  480923
Strength 3, Cards:  14  8 14 12 14, Bid:  670, Rank:   810, Winnings:  542700
Strength 3, Cards:  13 13 13 14 11, Bid:  339, Rank:   809, Winnings:  274251
Strength 3, Cards:  13 13 13 11  4, Bid:  540, Rank:   808, Winnings:  436320
Strength 3, Cards:  13 13 13  7  2, Bid:  746, Rank:   807, Winnings:  602022
Strength 3, Cards:  13 13 11 13  6, Bid:  957, Rank:   806, Winnings:  771342
Strength 3, Cards:  13 13 11 13  2, Bid:   53, Rank:   805, Winnings:   42665
Strength 3, Cards:  13 13  4 12 13, Bid:  280, Rank:   804, Winnings:  225120
Strength 3, Cards:  13 13  3 13  5, Bid:  194, Rank:   803, Winnings:  155782
Strength 3, Cards:  13 12 13 13  3, Bid:  162, Rank:   802, Winnings:  129924
Strength 3, Cards:  13 12 12  4 12, Bid:  581, Rank:   801, Winnings:  465381
Strength 3, Cards:  13 10 13 13  5, Bid:    4, Rank:   800, Winnings:    3200
Strength 3, Cards:  13 10  8 13 13, Bid:   42, Rank:   799, Winnings:   33558
Strength 3, Cards:  13  9 13 13  7, Bid:  449, Rank:   798, Winnings:  358302
Strength 3, Cards:  13  9 11  9  9, Bid:  384, Rank:   797, Winnings:  306048
Strength 3, Cards:  13  9  9  9  7, Bid:  220, Rank:   796, Winnings:  175120
Strength 3, Cards:  13  8  4  8  8, Bid:  160, Rank:   795, Winnings:  127200
Strength 3, Cards:  13  7 13 13  4, Bid:    2, Rank:   794, Winnings:    1588
Strength 3, Cards:  13  5 10  5  5, Bid:   76, Rank:   793, Winnings:   60268
Strength 3, Cards:  13  4 13 13  5, Bid:  916, Rank:   792, Winnings:  725472
Strength 3, Cards:  13  4  7  7  7, Bid:  921, Rank:   791, Winnings:  728511
Strength 3, Cards:  13  3 14 13 13, Bid:  703, Rank:   790, Winnings:  555370
Strength 3, Cards:  13  2  2 12  2, Bid:  743, Rank:   789, Winnings:  586227
Strength 3, Cards:  12 14 14 14  5, Bid:  523, Rank:   788, Winnings:  412124
Strength 3, Cards:  12 12 12  9 11, Bid:  421, Rank:   787, Winnings:  331327
Strength 3, Cards:  12 12 12  2 11, Bid:  323, Rank:   786, Winnings:  253878
Strength 3, Cards:  12 12 12  2  4, Bid:  709, Rank:   785, Winnings:  556565
Strength 3, Cards:  12 12  3 12  6, Bid:  429, Rank:   784, Winnings:  336336
Strength 3, Cards:  12 11 12 12 10, Bid:  724, Rank:   783, Winnings:  566892
Strength 3, Cards:  12 11  6 12 12, Bid:   95, Rank:   782, Winnings:   74290
Strength 3, Cards:  12  8 12 12 11, Bid:   65, Rank:   781, Winnings:   50765
Strength 3, Cards:  12  8  8  7  8, Bid:  610, Rank:   780, Winnings:  475800
Strength 3, Cards:  12  7 12 14 12, Bid:  161, Rank:   779, Winnings:  125419
Strength 3, Cards:  12  7 12 11 12, Bid:  281, Rank:   778, Winnings:  218618
Strength 3, Cards:  12  7  7  9  7, Bid:  705, Rank:   777, Winnings:  547785
Strength 3, Cards:  12  7  7  7 14, Bid:  884, Rank:   776, Winnings:  685984
Strength 3, Cards:  12  6 13 12 12, Bid:   38, Rank:   775, Winnings:   29450
Strength 3, Cards:  12  5  6  6  6, Bid:  731, Rank:   774, Winnings:  565794
Strength 3, Cards:  11 14 14  2 14, Bid:  592, Rank:   773, Winnings:  457616
Strength 3, Cards:  11 14 10 10 10, Bid:  310, Rank:   772, Winnings:  239320
Strength 3, Cards:  11 12 11  9 11, Bid:  508, Rank:   771, Winnings:  391668
Strength 3, Cards:  11 11  4 12 11, Bid:  954, Rank:   770, Winnings:  734580
Strength 3, Cards:  11  8  7  8  8, Bid:   88, Rank:   769, Winnings:   67672
Strength 3, Cards:  11  7  7  7 12, Bid:  489, Rank:   768, Winnings:  375552
Strength 3, Cards:  11  6 11  7 11, Bid:   18, Rank:   767, Winnings:   13806
Strength 3, Cards:  11  6  6  6  2, Bid:  200, Rank:   766, Winnings:  153200
Strength 3, Cards:  11  4  4  4  2, Bid:  406, Rank:   765, Winnings:  310590
Strength 3, Cards:  11  3  8  8  8, Bid:  345, Rank:   764, Winnings:  263580
Strength 3, Cards:  11  3  3  3 12, Bid:  814, Rank:   763, Winnings:  621082
Strength 3, Cards:  10 13 13 13 12, Bid:  802, Rank:   762, Winnings:  611124
Strength 3, Cards:  10 13 12 10 10, Bid:  588, Rank:   761, Winnings:  447468
Strength 3, Cards:  10 13  7  7  7, Bid:  153, Rank:   760, Winnings:  116280
Strength 3, Cards:  10 12 11 10 10, Bid:  394, Rank:   759, Winnings:  299046
Strength 3, Cards:  10 10 14  9 10, Bid:  894, Rank:   758, Winnings:  677652
Strength 3, Cards:  10 10 13 10  8, Bid:  356, Rank:   757, Winnings:  269492
Strength 3, Cards:  10 10 11  9 10, Bid:  887, Rank:   756, Winnings:  670572
Strength 3, Cards:  10 10 10  7  2, Bid:  259, Rank:   755, Winnings:  195545
Strength 3, Cards:  10 10 10  5  2, Bid:  773, Rank:   754, Winnings:  582842
Strength 3, Cards:  10 10  9  2 10, Bid:  830, Rank:   753, Winnings:  624990
Strength 3, Cards:  10 10  4 14 10, Bid:  679, Rank:   752, Winnings:  510608
Strength 3, Cards:  10  9  6 10 10, Bid:  849, Rank:   751, Winnings:  637599
Strength 3, Cards:  10  8 10 10 12, Bid:   22, Rank:   750, Winnings:   16500
Strength 3, Cards:  10  8 10 10  5, Bid:  736, Rank:   749, Winnings:  551264
Strength 3, Cards:  10  7  7  7  6, Bid:  526, Rank:   748, Winnings:  393448
Strength 3, Cards:  10  6  6 11  6, Bid:  127, Rank:   747, Winnings:   94869
Strength 3, Cards:  10  6  5  5  5, Bid:  650, Rank:   746, Winnings:  484900
Strength 3, Cards:  10  5 10 10  4, Bid:  451, Rank:   745, Winnings:  335995
Strength 3, Cards:  10  4  8  8  8, Bid:  750, Rank:   744, Winnings:  558000
Strength 3, Cards:  10  3 10  6 10, Bid:   78, Rank:   743, Winnings:   57954
Strength 3, Cards:  10  3  9  3  3, Bid:  456, Rank:   742, Winnings:  338352
Strength 3, Cards:  10  2 13 10 10, Bid:  660, Rank:   741, Winnings:  489060
Strength 3, Cards:  10  2 10 10 12, Bid:  547, Rank:   740, Winnings:  404780
Strength 3, Cards:  10  2  3 10 10, Bid:  357, Rank:   739, Winnings:  263823
Strength 3, Cards:   9 13 12 13 13, Bid:  311, Rank:   738, Winnings:  229518
Strength 3, Cards:   9 13 12  9  9, Bid:  808, Rank:   737, Winnings:  595496
Strength 3, Cards:   9 13  9  5  9, Bid:  928, Rank:   736, Winnings:  683008
Strength 3, Cards:   9 11  9  6  9, Bid:  226, Rank:   735, Winnings:  166110
Strength 3, Cards:   9 11  5  9  9, Bid:  483, Rank:   734, Winnings:  354522
Strength 3, Cards:   9 10  5 10 10, Bid:  282, Rank:   733, Winnings:  206706
Strength 3, Cards:   9  9  8  3  9, Bid:  961, Rank:   732, Winnings:  703452
Strength 3, Cards:   9  9  7 11  9, Bid:   51, Rank:   731, Winnings:   37281
Strength 3, Cards:   9  5  7  7  7, Bid:  781, Rank:   730, Winnings:  570130
Strength 3, Cards:   9  3 11  9  9, Bid:  683, Rank:   729, Winnings:  497907
Strength 3, Cards:   9  2 13  9  9, Bid:   29, Rank:   728, Winnings:   21112
Strength 3, Cards:   9  2  6  9  9, Bid:  799, Rank:   727, Winnings:  580873
Strength 3, Cards:   8 14 14  5 14, Bid:  188, Rank:   726, Winnings:  136488
Strength 3, Cards:   8 14  8 10  8, Bid:  648, Rank:   725, Winnings:  469800
Strength 3, Cards:   8 14  8  7  8, Bid:  955, Rank:   724, Winnings:  691420
Strength 3, Cards:   8 12 12 12 14, Bid:  767, Rank:   723, Winnings:  554541
Strength 3, Cards:   8 12  8  8 14, Bid:  771, Rank:   722, Winnings:  556662
Strength 3, Cards:   8  9  4  8  8, Bid:  779, Rank:   721, Winnings:  561659
Strength 3, Cards:   8  8 12  8  5, Bid:  108, Rank:   720, Winnings:   77760
Strength 3, Cards:   8  8  9 11  8, Bid:  298, Rank:   719, Winnings:  214262
Strength 3, Cards:   8  8  8  3  6, Bid:  846, Rank:   718, Winnings:  607428
Strength 3, Cards:   8  8  8  2  6, Bid:  907, Rank:   717, Winnings:  650319
Strength 3, Cards:   8  8  7  8  5, Bid:  575, Rank:   716, Winnings:  411700
Strength 3, Cards:   8  6 13  6  6, Bid:  947, Rank:   715, Winnings:  677105
Strength 3, Cards:   8  5 10  8  8, Bid:  866, Rank:   714, Winnings:  618324
Strength 3, Cards:   8  5  9  5  5, Bid:  549, Rank:   713, Winnings:  391437
Strength 3, Cards:   8  3 13  3  3, Bid:  505, Rank:   712, Winnings:  359560
Strength 3, Cards:   8  3  4  8  8, Bid:  536, Rank:   711, Winnings:  381096
Strength 3, Cards:   7 10  7  7  9, Bid:  914, Rank:   710, Winnings:  648940
Strength 3, Cards:   7  7 12  7  3, Bid:  338, Rank:   709, Winnings:  239642
Strength 3, Cards:   7  7 12  5  7, Bid:  568, Rank:   708, Winnings:  402144
Strength 3, Cards:   7  7  8  7  2, Bid:  920, Rank:   707, Winnings:  650440
Strength 3, Cards:   7  7  7 13  9, Bid:  662, Rank:   706, Winnings:  467372
Strength 3, Cards:   7  7  7 11  6, Bid:  510, Rank:   705, Winnings:  359550
Strength 3, Cards:   7  7  7  3 10, Bid:  693, Rank:   704, Winnings:  487872
Strength 3, Cards:   7  7  5  7  2, Bid:  350, Rank:   703, Winnings:  246050
Strength 3, Cards:   7  6  6  6 12, Bid:  739, Rank:   702, Winnings:  518778
Strength 3, Cards:   7  5 14  5  5, Bid:   17, Rank:   701, Winnings:   11917
Strength 3, Cards:   7  4 11  7  7, Bid:  775, Rank:   700, Winnings:  542500
Strength 3, Cards:   7  4  7  7  8, Bid:  141, Rank:   699, Winnings:   98559
Strength 3, Cards:   7  3  6  7  7, Bid:  261, Rank:   698, Winnings:  182178
Strength 3, Cards:   7  2  7  7 13, Bid:  507, Rank:   697, Winnings:  353379
Strength 3, Cards:   7  2  6  6  6, Bid:  499, Rank:   696, Winnings:  347304
Strength 3, Cards:   6 14 14 10 14, Bid:  649, Rank:   695, Winnings:  451055
Strength 3, Cards:   6 12 12 12  8, Bid:  780, Rank:   694, Winnings:  541320
Strength 3, Cards:   6 11  6  6  8, Bid:  597, Rank:   693, Winnings:  413721
Strength 3, Cards:   6 10  7  6  6, Bid:  423, Rank:   692, Winnings:  292716
Strength 3, Cards:   6  7  7 14  7, Bid:  195, Rank:   691, Winnings:  134745
Strength 3, Cards:   6  6  6  8  9, Bid:  861, Rank:   690, Winnings:  594090
Strength 3, Cards:   6  5  6  6  9, Bid:  492, Rank:   689, Winnings:  338988
Strength 3, Cards:   6  5  6  6  8, Bid:  929, Rank:   688, Winnings:  639152
Strength 3, Cards:   6  4  4  4 13, Bid:  409, Rank:   687, Winnings:  280983
Strength 3, Cards:   6  2  2  5  2, Bid:  214, Rank:   686, Winnings:  146804
Strength 3, Cards:   5 14  5  5  2, Bid:  787, Rank:   685, Winnings:  539095
Strength 3, Cards:   5 10 10  7 10, Bid:  235, Rank:   684, Winnings:  160740
